,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,375.05,380.0,371.8,375.0,377.9,377.35,377.65,441.85,306.1,252009,95171438.3,6340,YATHARTH
1,2023-12-28,EQ,380.3,381.8,370.55,380.5,374.8,375.0,374.71,441.85,306.1,296067,110937963.75,18912,YATHARTH
2,2023-12-27,EQ,379.05,382.5,377.55,379.7,377.75,380.5,380.34,441.85,306.1,335235,127501831.85,11151,YATHARTH
3,2023-12-26,EQ,384.6,384.65,378.05,380.35,379.0,379.7,380.7,441.85,306.1,195315,74355950.75,6023,YATHARTH
4,2023-12-22,EQ,374.8,382.1,374.4,370.1,379.9,380.35,378.68,441.85,306.1,239527,90703863.9,7964,YATHARTH
5,2023-12-21,EQ,365.0,377.25,361.75,369.8,370.0,370.1,370.9,441.85,306.1,342989,127215919.05,15444,YATHARTH
6,2023-12-20,EQ,393.5,393.5,360.0,387.7,361.9,369.8,379.71,441.85,306.1,387805,147254541.5,13188,YATHARTH
7,2023-12-19,EQ,392.6,392.95,385.5,392.5,390.9,387.7,389.08,441.85,306.1,211684,82362869.0,7688,YATHARTH
8,2023-12-18,EQ,387.55,397.9,384.0,389.95,391.25,392.5,391.62,441.85,306.1,399828,156581797.85,13889,YATHARTH
9,2023-12-15,EQ,389.9,393.0,387.8,387.95,390.0,389.95,390.38,441.85,306.1,235156,91801250.5,7365,YATHARTH
10,2023-12-14,EQ,393.9,394.65,385.9,387.85,388.2,387.95,388.79,441.85,306.1,245500,95447269.2,9357,YATHARTH
11,2023-12-13,EQ,378.6,403.95,376.0,378.6,390.0,387.85,390.25,441.85,306.1,907954,354329708.05,32270,YATHARTH
12,2023-12-12,EQ,387.0,387.0,375.55,383.05,379.15,378.6,380.31,441.85,306.1,785696,298807434.4,28597,YATHARTH
13,2023-12-11,EQ,383.45,387.9,379.0,382.55,383.0,383.05,381.64,441.85,306.1,436447,166564631.0,13031,YATHARTH
14,2023-12-08,EQ,382.05,386.0,379.55,380.3,385.0,382.55,382.31,441.85,306.1,191104,73061820.7,8612,YATHARTH
15,2023-12-07,EQ,388.95,389.95,379.0,388.2,380.0,380.3,383.0,441.85,306.1,285736,109436374.5,11923,YATHARTH
16,2023-12-06,EQ,392.25,393.75,385.55,392.2,386.4,388.2,389.02,441.85,306.1,421552,163993802.05,11435,YATHARTH
17,2023-12-05,EQ,393.9,395.6,386.05,391.3,391.0,392.2,390.74,441.85,306.1,301093,117650227.45,10688,YATHARTH
18,2023-12-04,EQ,393.0,398.0,389.0,390.3,392.0,391.3,392.23,441.85,306.1,261350,102509191.2,10310,YATHARTH
19,2023-12-01,EQ,399.9,399.9,388.8,395.5,390.75,390.3,391.34,441.85,306.1,533869,208926499.7,22168,YATHARTH
20,2023-11-30,EQ,392.8,400.75,384.6,380.8,394.4,395.5,394.59,441.85,306.1,1768726,697925603.6,42672,YATHARTH
21,2023-11-29,EQ,429.9,429.9,374.5,432.25,385.6,380.8,390.4,441.85,306.1,4894838,1910960644.9,111231,YATHARTH
22,2023-11-28,EQ,410.95,441.85,407.15,405.35,434.0,432.25,424.62,441.85,306.1,1867298,792894813.65,51172,YATHARTH
23,2023-11-24,EQ,408.0,411.7,402.0,406.45,405.35,405.35,405.83,426.95,306.1,312465,126808443.2,9876,YATHARTH
24,2023-11-23,EQ,407.0,414.9,404.4,404.6,408.0,406.45,410.25,426.95,306.1,852405,349700098.7,20359,YATHARTH
25,2023-11-22,EQ,390.9,409.7,390.9,389.55,405.0,404.6,401.85,426.95,306.1,1508694,606274099.55,37916,YATHARTH
26,2023-11-21,EQ,389.0,391.0,386.1,389.25,390.0,389.55,389.16,426.95,306.1,334279,130089602.55,12977,YATHARTH
27,2023-11-20,EQ,389.9,391.0,380.45,388.9,387.0,389.25,386.33,426.95,306.1,371980,143708461.45,12806,YATHARTH
28,2023-11-17,EQ,399.0,399.0,387.55,395.65,388.65,388.9,391.56,426.95,306.1,329389,128974799.2,12104,YATHARTH
29,2023-11-16,EQ,394.9,411.4,393.05,393.05,395.3,395.65,400.65,426.95,306.1,938014,375811052.85,27172,YATHARTH
30,2023-11-15,EQ,395.0,401.8,390.65,389.05,393.1,393.05,395.22,426.95,306.1,450725,178136636.2,19030,YATHARTH
31,2023-11-13,EQ,389.9,392.15,386.0,392.1,388.75,389.05,389.14,426.95,306.1,170832,66478002.2,6686,YATHARTH
32,2023-11-12,EQ,393.0,395.2,390.6,390.4,392.0,392.1,392.71,426.95,306.1,87671,34429633.8,2340,YATHARTH
33,2023-11-10,EQ,389.0,396.5,386.0,384.2,390.1,390.4,391.31,426.95,306.1,539135,210970649.25,15662,YATHARTH
34,2023-11-09,EQ,390.0,393.7,381.3,387.3,387.0,384.2,386.43,426.95,306.1,352995,136407101.3,13587,YATHARTH
35,2023-11-08,EQ,414.95,414.95,380.0,374.65,388.0,387.3,395.76,426.95,306.1,3306931,1308756031.05,70062,YATHARTH
36,2023-11-07,EQ,374.95,377.25,369.15,372.45,376.0,374.65,373.66,426.95,306.1,292848,109426554.65,8286,YATHARTH
37,2023-11-06,EQ,364.7,373.4,359.35,361.8,372.3,372.45,368.82,426.95,306.1,502153,185201988.2,15173,YATHARTH
38,2023-11-03,EQ,363.35,368.35,360.3,361.35,363.5,361.8,364.18,426.95,306.1,230017,83768295.75,10858,YATHARTH
39,2023-11-02,EQ,363.0,365.7,358.35,359.65,361.3,361.35,361.84,426.95,306.1,283351,102526885.45,13637,YATHARTH
40,2023-11-01,EQ,350.5,363.95,348.8,348.05,359.0,359.65,357.27,426.95,306.1,511842,182866191.35,18884,YATHARTH
41,2023-10-31,EQ,363.0,368.0,344.1,358.7,350.0,348.05,357.71,426.95,306.1,1205531,431230793.05,33077,YATHARTH
42,2023-10-30,EQ,365.4,365.45,354.25,364.45,358.0,358.7,357.4,426.95,306.1,505045,180501099.7,13579,YATHARTH
43,2023-10-27,EQ,362.7,369.1,359.55,362.7,364.0,364.45,364.54,426.95,306.1,207848,75768954.25,8831,YATHARTH
44,2023-10-26,EQ,364.95,367.45,350.05,365.05,362.0,362.7,359.98,426.95,306.1,187359,67446198.95,9395,YATHARTH
45,2023-10-25,EQ,374.7,374.7,358.1,366.8,366.0,365.05,363.38,426.95,306.1,413267,150175010.2,14670,YATHARTH
46,2023-10-23,EQ,367.0,382.0,362.5,362.0,367.0,366.8,371.67,426.95,306.1,1125885,418454991.05,26438,YATHARTH
47,2023-10-20,EQ,381.05,385.0,358.05,392.0,361.5,362.0,369.53,426.95,306.1,1421553,525310036.75,33719,YATHARTH
48,2023-10-19,EQ,386.15,398.6,380.15,388.1,391.0,392.0,393.36,426.95,306.1,253791,99830692.7,7527,YATHARTH
49,2023-10-18,EQ,391.55,393.4,378.9,388.5,391.0,388.1,387.12,426.95,306.1,383926,148625263.55,11311,YATHARTH
50,2023-10-17,EQ,399.0,403.75,387.05,396.5,390.0,388.5,394.26,426.95,306.1,265246,104574887.25,9828,YATHARTH
51,2023-10-16,EQ,407.65,407.65,395.35,403.95,396.4,396.5,400.39,426.95,306.1,179642,71926580.25,6922,YATHARTH
52,2023-10-13,EQ,394.55,408.9,393.4,395.85,404.0,403.95,402.43,426.95,306.1,393049,158173960.95,11564,YATHARTH
53,2023-10-12,EQ,420.75,421.45,393.05,417.15,395.0,395.85,401.98,426.95,306.1,884179,355420783.95,22281,YATHARTH
54,2023-10-11,EQ,413.0,426.95,409.2,409.15,416.0,417.15,418.26,426.95,306.1,978366,409212728.55,28177,YATHARTH
55,2023-10-10,EQ,397.0,419.0,396.05,392.2,409.2,409.15,410.04,419.0,306.1,989058,405555179.5,27562,YATHARTH
56,2023-10-09,EQ,389.9,408.0,386.0,401.75,390.45,392.2,396.23,415.4,306.1,825731,327178136.35,25462,YATHARTH
57,2023-10-06,EQ,385.9,415.4,383.5,381.05,402.2,401.75,407.17,415.4,306.1,3345234,1362063497.3,83348,YATHARTH
58,2023-10-05,EQ,383.45,388.15,374.8,378.45,382.3,381.05,380.61,404.7,306.1,351910,133939787.0,8968,YATHARTH
59,2023-10-04,EQ,385.0,404.0,375.55,383.65,378.0,378.45,389.81,404.7,306.1,1026935,400310255.55,32954,YATHARTH
