,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-28,EQ,823.5,831.0,797.0,810.15,806.0,806.35,812.56,831.0,650.0,425606,345832175.9,13585,ZENTEC
1,2023-12-27,EQ,779.0,810.35,775.0,771.8,810.35,810.15,806.43,810.35,650.0,953498,768925494.5,18071,ZENTEC
2,2023-12-26,EQ,758.45,782.0,747.0,746.85,773.45,771.8,774.16,796.45,650.0,295803,228997989.25,7670,ZENTEC
3,2023-12-14,EQ,730.0,750.0,725.05,725.3,741.15,741.5,735.74,796.45,650.0,232534,171084014.75,7028,ZENTEC
4,2023-12-13,EQ,733.25,733.95,717.0,733.25,726.95,725.3,724.71,796.45,650.0,168228,121916113.75,7173,ZENTEC
5,2023-12-12,EQ,745.0,745.65,726.4,738.65,733.95,733.25,737.19,796.45,650.0,116345,85768095.8,4957,ZENTEC
6,2023-12-11,EQ,755.0,755.95,731.0,743.5,738.5,738.65,743.17,796.45,650.0,98468,73178586.45,5226,ZENTEC
7,2023-12-08,EQ,740.95,748.05,737.0,740.95,743.95,743.5,742.6,796.45,650.0,84096,62450044.25,4199,ZENTEC
8,2023-12-07,EQ,748.0,754.2,740.0,748.6,742.5,740.95,743.7,796.45,650.0,115071,85578857.35,5929,ZENTEC
9,2023-12-06,EQ,754.9,758.0,741.0,754.9,750.25,748.6,749.41,796.45,650.0,191564,143559039.7,8900,ZENTEC
10,2023-12-05,EQ,774.0,778.6,751.0,772.3,755.3,754.9,761.36,796.45,650.0,185868,141511566.55,9087,ZENTEC
11,2023-12-04,EQ,790.0,792.0,770.05,771.15,773.95,772.3,778.57,796.45,650.0,184877,143940428.55,8162,ZENTEC
12,2023-12-01,EQ,775.0,790.0,767.0,772.4,770.1,771.15,779.92,796.45,650.0,292067,227788816.0,11099,ZENTEC
13,2023-11-30,EQ,738.05,773.3,738.05,736.5,773.3,772.4,763.82,796.45,650.0,411962,314666647.5,13719,ZENTEC
14,2023-11-29,EQ,745.95,749.6,735.0,744.6,736.0,736.5,739.85,819.0,650.0,120823,89391204.55,5147,ZENTEC
15,2023-11-28,EQ,774.55,774.55,742.0,757.4,745.25,744.6,753.38,834.5,650.0,158813,119646464.3,6962,ZENTEC
16,2023-11-24,EQ,762.25,764.0,737.5,755.45,756.0,757.4,751.7,837.5,650.0,242634,182388985.6,8363,ZENTEC
17,2023-11-23,EQ,764.9,765.45,752.05,755.75,756.65,755.45,758.32,839.85,650.0,86378,65502396.8,3790,ZENTEC
18,2023-11-22,EQ,790.0,791.0,750.0,784.35,757.6,755.75,762.34,844.8,650.0,235114,179236737.8,10166,ZENTEC
19,2023-11-21,EQ,766.05,796.45,766.05,758.55,784.8,784.35,789.06,845.0,650.0,840105,662895277.6,16141,ZENTEC
20,2023-11-20,EQ,737.0,758.55,735.0,722.45,758.55,758.55,752.62,854.0,650.0,207768,156370570.05,6080,ZENTEC
21,2023-08-17,EQ,880.0,911.4,832.3,868.0,849.9,848.75,891.07,911.4,175.15,2571883,2291717898.85,70368,ZENTEC
22,2023-08-16,EQ,860.0,868.0,851.0,826.7,868.0,868.0,864.84,868.0,175.15,862698,746094022.6,17673,ZENTEC
23,2023-08-14,EQ,794.95,826.7,792.15,787.35,826.7,826.7,814.9,853.85,175.15,595284,485097571.4,15142,ZENTEC
24,2023-08-11,EQ,824.0,825.0,783.6,824.75,785.0,787.35,797.11,853.85,175.15,1089459,868419320.8,42125,ZENTEC
25,2023-08-10,EQ,827.95,853.85,803.6,815.6,819.5,824.75,830.3,853.85,175.15,2200415,1827007209.45,61513,ZENTEC
26,2023-08-09,EQ,750.0,816.5,727.0,742.3,816.0,815.6,790.44,816.5,175.15,4103119,3243261185.0,92132,ZENTEC
27,2023-08-08,EQ,737.0,742.3,707.05,674.85,742.3,742.3,729.1,742.3,175.15,2911108,2122475000.65,55114,ZENTEC
28,2023-08-07,EQ,674.85,674.85,674.85,613.5,674.85,674.85,674.85,674.85,175.15,533674,360149898.9,4730,ZENTEC
29,2023-08-04,EQ,605.95,618.0,602.0,603.55,616.0,613.5,611.27,655.0,175.15,295052,180355636.0,8593,ZENTEC
30,2023-08-03,EQ,610.55,614.45,590.4,606.5,601.0,603.55,600.72,655.0,175.15,389099,233740316.95,13531,ZENTEC
31,2023-08-02,EQ,629.75,634.95,579.85,629.85,607.0,606.5,609.76,655.0,175.15,737076,449441793.25,23395,ZENTEC
32,2023-08-01,EQ,621.25,637.7,615.0,617.65,628.0,629.85,625.11,655.0,175.15,503932,315013297.25,11998,ZENTEC
33,2023-07-31,EQ,630.15,630.9,615.0,628.15,618.0,617.65,622.17,655.0,175.15,380201,236549367.85,12213,ZENTEC
34,2023-07-28,EQ,630.75,634.8,616.0,628.5,628.0,628.15,627.71,655.0,169.1,318047,199641808.1,9196,ZENTEC
35,2023-07-27,EQ,629.8,638.0,622.1,625.9,630.0,628.5,630.35,655.0,169.1,476400,300299670.7,14499,ZENTEC
36,2023-07-26,EQ,633.3,655.0,615.0,631.7,624.0,625.9,638.31,655.0,169.1,1034553,660365135.45,25883,ZENTEC
37,2023-07-25,EQ,617.0,645.7,611.65,613.45,635.0,631.7,629.86,654.9,169.1,1208185,760989433.8,28227,ZENTEC
38,2023-07-24,EQ,614.0,623.9,610.0,619.85,611.85,613.45,616.6,654.9,169.1,424497,261743574.2,13743,ZENTEC
39,2023-07-21,EQ,615.8,627.3,605.8,615.8,621.0,619.85,619.47,654.9,167.3,593001,367345176.85,14652,ZENTEC
40,2023-07-20,EQ,609.0,633.0,604.0,609.25,616.0,615.8,618.64,654.9,167.3,1145699,708777446.15,26249,ZENTEC
41,2023-07-19,EQ,605.0,618.0,594.0,602.9,606.8,609.25,606.73,654.9,167.3,874544,530610950.55,21701,ZENTEC
42,2023-07-18,EQ,613.4,613.4,575.0,608.5,603.0,602.9,598.64,654.9,167.3,733830,439302554.25,22577,ZENTEC
43,2023-07-17,EQ,595.4,616.7,585.0,590.5,610.95,608.5,602.59,654.9,167.3,1518692,915146180.35,32192,ZENTEC
44,2023-07-14,EQ,600.0,607.65,573.55,589.85,590.0,590.5,591.69,654.9,167.25,2325511,1375979466.55,45358,ZENTEC
45,2023-07-13,EQ,605.0,654.9,570.7,576.95,599.9,589.85,623.13,654.9,167.25,20899486,13023054313.4,321901,ZENTEC
46,2023-07-12,EQ,489.0,576.95,486.85,480.8,576.95,576.95,540.72,576.95,167.25,11470666,6202385016.65,167132,ZENTEC
47,2023-07-11,EQ,426.0,489.0,425.5,425.0,482.15,480.8,470.65,489.0,167.25,8964371,4219048145.85,126452,ZENTEC
48,2023-07-10,EQ,432.15,432.6,421.5,429.8,425.85,425.0,425.18,453.2,167.25,439123,186708040.3,11161,ZENTEC
49,2023-07-07,EQ,432.6,439.65,426.0,419.6,428.0,429.8,432.02,453.2,167.25,2273226,982077856.95,38834,ZENTEC
50,2023-07-06,EQ,416.65,424.95,416.0,414.2,420.6,419.6,419.72,453.2,167.25,454130,190607178.7,9111,ZENTEC
51,2023-07-05,EQ,415.35,422.9,411.4,415.35,414.35,414.2,415.96,453.2,167.25,359475,149527759.55,10224,ZENTEC
52,2023-07-04,EQ,423.0,427.0,412.1,421.55,413.15,415.35,419.43,453.2,167.25,401386,168354223.95,10904,ZENTEC
