,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,687.95,691.8,683.35,686.4,688.75,689.2,687.31,696.5,413.55,786848,540805297.75,27936,ZYDUSLIFE
1,2023-12-28,EQ,688.65,692.35,681.4,688.65,686.3,686.4,686.13,696.5,413.55,972278,667104748.8,33943,ZYDUSLIFE
2,2023-12-27,EQ,673.0,693.25,666.75,676.2,688.0,688.65,681.21,696.5,413.55,2108751,1436502384.45,44278,ZYDUSLIFE
3,2023-12-26,EQ,679.0,686.85,674.5,679.95,677.0,676.2,679.39,696.5,413.55,1323845,899409179.75,29571,ZYDUSLIFE
4,2023-12-22,EQ,675.0,689.4,673.05,671.45,679.0,679.95,682.09,696.5,404.6,2027527,1382960843.45,41760,ZYDUSLIFE
5,2023-12-21,EQ,657.55,674.5,648.15,663.75,674.45,671.45,664.28,696.5,404.6,1404289,932841815.05,34558,ZYDUSLIFE
6,2023-12-20,EQ,686.0,696.5,659.1,685.85,660.0,663.75,683.49,696.5,404.6,2162161,1477806536.75,52513,ZYDUSLIFE
7,2023-12-19,EQ,684.8,694.0,671.35,680.6,685.4,685.85,685.3,694.0,404.6,2817353,1930718899.3,67769,ZYDUSLIFE
8,2023-12-18,EQ,655.0,682.35,651.1,645.9,680.7,680.6,673.32,682.35,404.6,6969702,4692834646.7,130778,ZYDUSLIFE
9,2023-12-15,EQ,647.0,650.55,642.35,643.8,646.5,645.9,645.63,668.75,403.2,953712,615748231.45,22110,ZYDUSLIFE
10,2023-12-14,EQ,647.0,650.0,640.95,642.4,646.0,643.8,644.51,668.75,403.2,1194291,769729673.85,22154,ZYDUSLIFE
11,2023-12-13,EQ,635.0,648.6,633.3,635.4,640.25,642.4,641.97,668.75,403.2,1415919,908976079.5,31940,ZYDUSLIFE
12,2023-12-12,EQ,636.8,640.3,633.6,633.6,635.5,635.4,636.1,668.75,403.2,1109868,705985644.5,31297,ZYDUSLIFE
13,2023-12-11,EQ,644.45,645.3,632.0,638.55,633.0,633.6,636.77,668.75,403.2,1399797,891354585.15,51512,ZYDUSLIFE
14,2023-12-08,EQ,661.3,664.95,630.85,657.95,639.8,638.55,646.44,668.75,403.2,2333950,1508747448.3,58606,ZYDUSLIFE
15,2023-12-07,EQ,639.2,659.6,634.9,635.45,659.0,657.95,650.81,668.75,403.2,2533954,1649110683.7,60591,ZYDUSLIFE
16,2023-12-06,EQ,637.65,644.0,634.0,634.05,634.0,635.45,638.25,668.75,403.2,1501698,958463057.9,36604,ZYDUSLIFE
17,2023-12-05,EQ,637.9,643.45,632.4,633.4,634.5,634.05,636.39,668.75,403.2,718008,456936556.6,22038,ZYDUSLIFE
18,2023-12-04,EQ,648.0,648.35,630.0,639.7,635.2,633.4,634.98,668.75,403.2,883822,561209214.45,32595,ZYDUSLIFE
19,2023-12-01,EQ,641.7,648.95,637.5,637.55,640.0,639.7,642.4,668.75,398.95,1135068,729171516.1,26041,ZYDUSLIFE
20,2023-11-30,EQ,635.55,640.75,633.45,635.05,636.0,637.55,636.97,668.75,398.95,1357375,864605061.35,35042,ZYDUSLIFE
21,2023-11-29,EQ,633.25,637.85,630.05,629.8,635.0,635.05,634.76,668.75,398.95,777475,493510510.0,25814,ZYDUSLIFE
22,2023-11-28,EQ,639.9,641.05,628.1,639.9,630.0,629.8,632.65,668.75,398.95,606266,383557179.65,20026,ZYDUSLIFE
23,2023-11-24,EQ,634.8,648.0,634.0,631.6,639.0,639.9,642.35,668.75,390.0,690395,443472832.65,21080,ZYDUSLIFE
24,2023-11-23,EQ,645.45,645.45,629.45,642.05,633.0,631.6,636.6,668.75,390.0,1008710,642141424.7,26525,ZYDUSLIFE
25,2023-11-22,EQ,642.4,649.05,639.4,639.05,642.0,642.05,644.61,668.75,390.0,798769,514894134.2,16289,ZYDUSLIFE
26,2023-11-21,EQ,639.95,644.4,636.6,636.0,640.0,639.05,640.49,668.75,390.0,698901,447641503.35,12551,ZYDUSLIFE
27,2023-11-20,EQ,640.0,644.6,633.45,636.55,636.3,636.0,638.03,668.75,390.0,834768,532606152.15,18795,ZYDUSLIFE
28,2023-11-17,EQ,634.8,639.9,632.85,631.85,636.45,636.55,636.58,668.75,390.0,996812,634545705.15,18560,ZYDUSLIFE
29,2023-11-16,EQ,622.7,635.45,619.0,621.15,631.95,631.85,628.93,668.75,390.0,1293030,813225517.85,30786,ZYDUSLIFE
30,2023-11-15,EQ,624.0,625.55,618.85,620.25,622.0,621.15,621.97,668.75,390.0,458592,285231526.95,12097,ZYDUSLIFE
31,2023-11-13,EQ,622.05,622.4,616.05,623.35,621.85,620.25,619.41,668.75,390.0,845300,523587036.5,23953,ZYDUSLIFE
32,2023-11-12,EQ,624.5,624.8,619.85,619.9,623.8,623.35,623.57,668.75,390.0,109723,68419480.65,3910,ZYDUSLIFE
33,2023-11-10,EQ,609.5,621.15,606.05,612.45,620.0,619.9,615.75,668.75,390.0,1024488,630824299.8,24624,ZYDUSLIFE
34,2023-11-09,EQ,625.2,627.55,609.15,625.2,611.15,612.45,615.93,668.75,390.0,1601334,986309361.15,40691,ZYDUSLIFE
35,2023-11-08,EQ,601.5,634.0,598.05,597.3,626.7,625.2,622.57,668.75,390.0,4262389,2653655159.45,78838,ZYDUSLIFE
36,2023-11-07,EQ,588.0,602.4,587.65,584.85,598.8,597.3,596.19,668.75,390.0,2232265,1330850839.75,42855,ZYDUSLIFE
